City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Date
58,Bethel,60.79,-161.76,-16.6,74,1,5.82,US,clear sky,0,0,1/5/2020 19:56
59,Fonte Boa,-2.51,-66.09,86.76,69,93,1.79,BR,light rain,0.38,0,1/5/2020 19:58
60,Oyama,36.31,139.8,43,92,20,1.12,JP,few clouds,0,0,1/5/2020 19:59
61,Mikhaylovka,52.96,103.29,0.81,96,3,1.97,RU,clear sky,0,0,1/5/2020 19:59
62,Dikson,73.51,80.55,17.56,91,95,20.65,RU,light snow,0,0.19,1/5/2020 19:59
63,Tortoli,39.93,9.66,51.8,93,20,12.75,IT,few clouds,0,0,1/5/2020 19:59
64,Castro,-42.48,-73.76,59,58,75,12.75,CL,broken clouds,0,0,1/5/2020 19:59
65,Tuatapere,-46.13,167.69,48,85,100,21,NZ,light rain,2.13,0,1/5/2020 19:59
66,Kahului,20.89,-156.47,78.8,78,40,9.17,US,scattered clouds,0,0,1/5/2020 19:59
67,Remanso,-9.62,-42.08,74.89,81,74,4.5,BR,broken clouds,0,0,1/5/2020 19:59
68,Pisco,-13.71,-76.2,73,30,69,10.29,PE,broken clouds,0,0,1/5/2020 19:57
69,Roura,4.73,-52.33,80.6,78,1,4.7,GF,light rain,0.38,0,1/5/2020 19:59
70,Yeppoon,-23.13,150.74,75.2,78,2,2.24,AU,clear sky,0,0,1/5/2020 19:59
71,East London,-33.02,27.91,73.44,75,90,4.63,ZA,overcast clouds,0,0,1/5/2020 19:59
72,Tasiilaq,65.61,-37.64,24.06,93,100,30.44,GL,snow,0,3.94,1/5/2020 19:59
73,Qaanaaq,77.48,-69.36,-25.65,47,0,4.12,GL,clear sky,0,0,1/5/2020 19:59
74,Port Alfred,-33.59,26.89,68,89,50,1.01,ZA,scattered clouds,0,0,1/5/2020 19:58
75,Oranjemund,-28.55,16.43,62.89,91,0,12.39,ZA,clear sky,0,0,1/5/2020 19:59
76,San Cristobal,14.68,-86.92,69.13,77,96,10.8,HN,overcast clouds,0,0,1/5/2020 19:59
77,Hobart,-42.88,147.33,54,76,20,9.17,AU,few clouds,0,0,1/5/2020 19:59
78,Tura,64.27,100.22,12.61,87,100,8.97,RU,light snow,0,0.25,1/5/2020 19:59
79,Upernavik,72.79,-56.15,-29.87,88,100,11.86,GL,overcast clouds,0,0,1/5/2020 19:59
80,Kimbe,-5.56,150.15,77.5,88,100,2.04,PG,overcast clouds,0,0,1/5/2020 19:59
81,Petropavlovsk-Kamchatskiy,53.05,158.65,26.6,79,75,4.47,RU,broken clouds,0,0,1/5/2020 19:59
82,San Quintin,17.54,120.52,67.23,81,39,6.53,PH,scattered clouds,0,0,1/5/2020 19:59
83,Saint-Philippe,45.36,-73.48,23,62,90,11.41,CA,light snow,0,0,1/5/2020 19:59
84,Constitucion,23.99,-104.67,60.01,19,5,2.24,MX,clear sky,0,0,1/5/2020 19:59
85,Komsomolskiy,67.55,63.78,9.59,94,87,15.82,RU,overcast clouds,0,0,1/5/2020 19:59
86,Kihei,20.76,-156.45,78.8,78,40,9.17,US,scattered clouds,0,0,1/5/2020 20:03
87,Springdale,36.19,-94.13,59,55,1,10.29,US,clear sky,0,0,1/5/2020 20:03
88,Cherskiy,68.75,161.3,-7.71,61,5,5.35,RU,clear sky,0,0,1/5/2020 20:03
89,Atuona,-9.8,-139.03,80.56,67,0,4.74,PF,clear sky,0,0,1/5/2020 20:03
90,Ribeira Grande,38.52,-28.7,64.4,93,40,16.11,PT,scattered clouds,0,0,1/5/2020 19:58
91,Chapais,49.78,-74.86,8.6,84,90,4.7,CA,light snow,0,0,1/5/2020 19:59
